,open,close,high,low,volume,money
2016-10-10,3265.36,3293.87,3294.64,3258.96,8051926000.0,89607989896.0
2016-10-11,3296.87,3306.56,3308.0,3292.88,8771316300.0,88213421183.0
2016-10-12,3299.14,3300.01,3302.56,3289.75,6866978100.0,72386912616.0
2016-10-13,3299.16,3302.65,3307.41,3292.4,8122419800.0,79923748596.0
2016-10-14,3298.73,3305.85,3306.69,3285.73,8231627100.0,81485597806.0
2016-10-17,3305.96,3277.88,3309.01,3271.54,8611350900.0,88199418936.0
2016-10-18,3272.68,3321.33,3321.33,3272.68,10286071400.0,104625044142.0
2016-10-19,3323.3,3316.24,3332.52,3309.83,10116772500.0,96354442199.0
2016-10-20,3317.18,3318.6,3324.9,3312.17,7923887100.0,82481095277.0
2016-10-21,3315.72,3327.74,3341.56,3309.18,10978517600.0,107114926126.0
2016-10-24,3332.51,3367.58,3382.83,3330.97,15301434500.0,150063007899.0
2016-10-25,3367.48,3367.45,3373.91,3356.59,11119169300.0,110576512916.0
2016-10-26,3365.2,3354.8,3367.83,3349.57,9802478600.0,104719318220.0
2016-10-27,3351.46,3345.7,3352.35,3335.13,7762985100.0,85241012414.0
2016-10-28,3347.14,3340.13,3370.75,3337.29,9313330900.0,104797971448.0
2016-10-31,3332.41,3336.28,3340.47,3317.33,7135286300.0,80701820968.0
2016-11-01,3338.71,3359.05,3359.39,3334.46,7493819900.0,84717683750.0
2016-11-02,3350.71,3333.35,3356.4,3331.38,9119710400.0,100348995733.0
2016-11-03,3326.9,3365.09,3379.99,3324.84,12622350400.0,137386468361.0
2016-11-04,3362.21,3354.17,3377.64,3348.43,10406965500.0,110813764577.0
2016-11-07,3353.44,3356.59,3362.74,3342.31,9987798800.0,94370876771.0
2016-11-08,3367.7,3371.12,3383.92,3361.13,10314828200.0,105138256061.0
2016-11-09,3370.6,3353.05,3373.1,3322.08,13911005900.0,145186921690.0
2016-11-10,3374.91,3390.61,3403.02,3374.91,13470553500.0,133277399553.0
2016-11-11,3387.95,3417.22,3422.67,3382.89,19878149600.0,190647270040.0
2016-11-14,3409.22,3430.25,3452.62,3408.14,21324710500.0,208353308629.0
2016-11-15,3428.87,3429.87,3434.92,3415.99,13456632000.0,135206770523.0
